1,Thu Aug 19 21:54:38 2021,125094,car,2,4856,PC7C042B7,Unnamed: 0,Thu
92,Mon Aug  2 11:07:12 2021,6031416,TRUCK,4,4785,PC787D664,9.0,Mon
93,Wed Aug  4 15:15:09 2021,6905906,VAN,2,5002,PC585BD38,9.0,Wed
94,Wed Aug 11 17:34:54 2021,3764238,CAR,2,4728,PC07BF95F,9.0,Wed
95,Thu Aug  5 06:31:23 2021,1673826,TRUCK,4,4015,PC524833E,9.0,Thu
96,Sat Aug 21 18:13:29 2021,316662,CAR,2,4817,PCFF02057,9.0,Sat
97,Thu Aug 19 22:17:26 2021,2992127,TRUCK,4,4857,PC59F4E22,9.0,Thu
98,Thu Aug 19 12:02:31 2021,7517992,CAR,2,4724,PC3DE08BF,9.0,Thu
99,Thu Aug 12 06:54:12 2021,6232948,TRUCK,4,4725,PCB905D54,9.0,Thu
100,Fri Jul 30 08:09:03 2021,4369477,CAR,2,4591,PCC9875AC,10.0,Fri
101,Fri Aug  6 18:18:53 2021,4388245,TRUCK,4,4792,PC3E35002,10.0,Fri
102,Sat Aug  7 20:49:07 2021,8392508,CAR,2,4927,PC2D22627,10.0,Sat
103,Fri Jul 30 16:08:08 2021,6858708,CAR,2,4397,PCB070250,10.0,Fri
104,Fri Aug  6 06:59:16 2021,6215048,TRUCK,4,4195,PC308070B,10.0,Fri
105,Fri Aug 13 11:20:04 2021,7046549,TRUCK,4,4336,PCD30AB50,10.0,Fri
106,Wed Aug  4 18:37:46 2021,7899881,TRUCK,4,4520,PC8140983,10.0,Wed
107,Fri Aug 20 01:13:53 2021,9824238,CAR,2,4328,PC3777B8E,10.0,Fri
108,Sun Aug  8 10:25:38 2021,8180012,CAR,2,4749,PC65C93B7,10.0,Sun
109,Tue Aug 10 12:42:19 2021,426578,CAR,2,4990,PCFE28E92,10.0,Tue
110,Thu Jul 29 11:33:20 2021,3284775,CAR,2,4231,PC016D687,11.0,Thu
111,Sat Jul 31 18:42:46 2021,5487227,CAR,2,4643,PC6713209,11.0,Sat
112,Thu Aug 12 23:09:32 2021,1772941,CAR,2,4121,PCEC57A8E,11.0,Thu
113,Fri Aug 13 04:52:01 2021,2471284,VAN,2,4400,PC3BD7D63,11.0,Fri
114,Sun Aug 22 03:05:40 2021,6040036,CAR,2,4119,PC9EBEDB5,11.0,Sun
115,Fri Aug 13 12:39:10 2021,9249042,TRUCK,4,4695,PC4A5D62F,11.0,Fri
116,Mon Aug  9 22:59:28 2021,5791925,CAR,2,4495,PC210A754,11.0,Mon
117,Fri Aug  6 01:01:14 2021,3696614,TRUCK,4,4434,PCA491459,11.0,Fri
118,Mon Aug  2 05:42:51 2021,7892550,CAR,2,4299,PCAD3B9BC,11.0,Mon
119,Sun Aug  1 19:31:14 2021,5673214,VAN,2,4023,PC77793DF,11.0,Sun
120,Fri Aug  6 05:58:42 2021,6657095,TRUCK,4,4365,PC0F226DF,12.0,Fri
121,Mon Aug  9 16:03:31 2021,2067579,VAN,2,4582,PC98750ED,12.0,Mon
122,Fri Aug 13 11:42:48 2021,1005686,CAR,2,4119,PC9EBEDB5,12.0,Fri
123,Sun Aug  8 02:44:35 2021,7521772,VAN,2,4416,PC546F252,12.0,Sun
124,Sun Aug 15 08:43:48 2021,6545042,CAR,2,4898,PC0AE9E1B,12.0,Sun
125,Mon Aug  9 05:03:17 2021,3473929,TRUCK,4,4698,PC8BCEB19,12.0,Mon
126,Sun Aug 22 02:13:18 2021,29457,CAR,2,4416,PC546F252,12.0,Sun
127,Sat Aug 21 23:03:24 2021,7360318,CAR,2,4993,PC0F0AB4E,12.0,Sat
128,Tue Aug 17 10:32:29 2021,3427163,TRUCK,4,4356,PCF1979AE,12.0,Tue
129,Fri Jul 30 08:44:05 2021,3007179,VAN,2,4504,PC461DCD3,12.0,Fri
130,Fri Aug 20 06:01:27 2021,2151509,CAR,2,4811,PCBF83C7A,13.0,Fri
131,Sat Jul 31 05:17:21 2021,1067960,CAR,2,4574,PCC1F6F13,13.0,Sat
132,Tue Aug  3 07:01:26 2021,1100257,CAR,2,4116,PCCA836C9,13.0,Tue
133,Sun Aug 22 10:01:40 2021,4346999,CAR,2,4049,PC4779D38,13.0,Sun
134,Sat Aug 14 17:24:04 2021,4371005,CAR,2,4435,PC3E78C17,13.0,Sat
135,Sat Aug 14 11:50:01 2021,1583109,CAR,2,4272,PC09BDC08,13.0,Sat
136,Wed Aug 18 07:26:20 2021,8808595,CAR,2,4929,PC9E503B6,13.0,Wed
137,Thu Aug  5 01:15:16 2021,1841800,VAN,2,4531,PC857F4A0,13.0,Thu
138,Sat Jul 31 00:28:44 2021,1825050,CAR,2,4222,PC15EC378,13.0,Sat
139,Fri Aug 13 09:54:01 2021,8490556,CAR,2,4657,PCC591410,13.0,Fri
140,Thu Jul 29 23:02:42 2021,2549393,TRUCK,4,4481,PC30AAE76,14.0,Thu
141,Wed Aug 11 13:15:55 2021,9636921,TRUCK,4,4145,PC5FBE4B8,14.0,Wed
142,Thu Aug 19 21:13:57 2021,8899022,TRUCK,4,4813,PCACF7982,14.0,Thu
143,Thu Aug 19 08:46:24 2021,8112100,VAN,2,4585,PCF3AE602,14.0,Thu
144,Thu Jul 29 16:02:19 2021,335366,CAR,2,4924,PCE3427C5,14.0,Thu
145,Sat Jul 31 19:32:50 2021,1716955,TRUCK,4,4584,PC1085B78,14.0,Sat
146,Sat Aug 21 13:56:33 2021,4153555,VAN,2,4225,PCC1ED0C5,14.0,Sat
147,Sat Jul 31 12:55:05 2021,5626263,CAR,2,4719,PCBD66B01,14.0,Sat
148,Fri Aug  6 23:05:57 2021,49472,CAR,2,4830,PC12EEFE0,14.0,Fri
149,Thu Aug  5 15:24:15 2021,2497636,CAR,2,4073,PCA3797CA,14.0,Thu
150,Tue Aug  3 19:13:15 2021,7825358,TRUCK,4,4954,PCA276EBB,15.0,Tue
151,Sat Jul 31 11:27:59 2021,6084818,VAN,2,4732,PCD83DE25,15.0,Sat
152,Thu Aug 19 18:53:39 2021,5455899,CAR,2,4155,PC9042B3F,15.0,Thu
153,Tue Aug 17 22:11:51 2021,1849505,VAN,2,4142,PC7ACFF7C,15.0,Tue
154,Wed Aug 18 19:49:38 2021,6114302,CAR,2,4737,PCED7EAFE,15.0,Wed
155,Sun Aug 15 12:34:18 2021,8064123,CAR,2,4337,PCCF6A454,15.0,Sun
156,Fri Aug  6 19:17:50 2021,538972,TRUCK,4,4507,PC11DCA73,15.0,Fri
157,Fri Jul 30 13:58:53 2021,6869546,TRUCK,4,4092,PC40C2E00,15.0,Fri
158,Mon Aug  2 16:00:33 2021,3766512,CAR,2,4269,PCC7106FF,15.0,Mon
159,Fri Aug 20 21:45:41 2021,3528403,CAR,2,4610,PCA4D3E9B,15.0,Fri
160,Fri Aug 20 04:59:50 2021,4380057,VAN,2,4980,PCBD5C822,16.0,Fri
161,Sun Aug 15 00:36:59 2021,7876599,CAR,2,4295,PCD483999,16.0,Sun
162,Fri Aug 13 00:25:06 2021,969619,CAR,2,4412,PC821BC98,16.0,Fri
163,Fri Jul 30 13:42:03 2021,5763049,CAR,2,4364,PCB33ACE8,16.0,Fri
164,Mon Aug 16 05:46:00 2021,6079402,TRUCK,4,4290,PC84E8CEF,16.0,Mon
165,Sun Aug  1 22:59:23 2021,4832816,CAR,2,4264,PC9DFEBB0,16.0,Sun
166,Fri Aug 20 12:19:46 2021,3518759,TRUCK,4,4412,PC821BC98,16.0,Fri
167,Sat Jul 31 02:42:05 2021,4469770,TRUCK,4,4712,PC94168A2,16.0,Sat
168,Fri Aug  6 11:25:34 2021,7942552,TRUCK,4,4603,PC485BE5B,16.0,Fri
169,Tue Aug 17 21:17:32 2021,2493747,TRUCK,4,4180,PC250A90D,16.0,Tue
170,Tue Aug  3 15:31:28 2021,8099060,CAR,2,4592,PC627AA14,17.0,Tue
171,Fri Aug 20 22:50:25 2021,4492765,TRUCK,4,4008,PC5680D80,17.0,Fri
172,Fri Aug  6 07:45:56 2021,5758058,CAR,2,4083,PC90346C9,17.0,Fri
173,Thu Aug 19 00:24:55 2021,9496559,CAR,2,4573,PC4D8469D,17.0,Thu
174,Fri Jul 30 02:24:22 2021,3174341,CAR,2,4642,PC17D596F,17.0,Fri
175,Fri Aug 13 05:55:34 2021,3318165,CAR,2,4693,PCB4CDDA5,17.0,Fri
176,Mon Aug  2 14:28:14 2021,7509515,TRUCK,4,4787,PC1BDA119,17.0,Mon
177,Tue Aug  3 12:47:44 2021,367073,CAR,2,4989,PC7D7AE48,17.0,Tue
178,Sun Aug  8 09:26:56 2021,8543348,TRUCK,4,4803,PC2BBEEDC,17.0,Sun
179,Fri Aug 20 04:16:14 2021,4588656,CAR,2,4848,PCF0FC9B2,17.0,Fri
180,Fri Aug 20 04:22:16 2021,9706662,CAR,2,4377,PC4AC8EAD,18.0,Fri
181,Tue Aug 10 03:28:33 2021,3359010,CAR,2,4947,PCE4A44BE,18.0,Tue
182,Wed Aug 18 11:24:47 2021,7639441,CAR,2,4439,PC845CEA6,18.0,Wed
183,Tue Aug  3 08:52:25 2021,9449600,CAR,2,4346,PCA35B156,18.0,Tue
184,Wed Aug 11 06:39:10 2021,7572233,CAR,2,4718,PC81E83B9,18.0,Wed
185,Fri Aug 20 03:23:49 2021,7096671,TRUCK,4,4049,PC4779D38,18.0,Fri
186,Fri Jul 30 23:54:00 2021,6218100,CAR,2,4579,PC926F0A9,18.0,Fri
187,Wed Aug 11 07:11:55 2021,9500467,VAN,2,4985,PCCA71D2C,18.0,Wed
188,Sun Aug 15 20:41:12 2021,2551672,TRUCK,4,4356,PCF1979AE,18.0,Sun
189,Wed Aug 18 18:28:36 2021,4423795,CAR,2,4631,PCFFF6463,18.0,Wed
190,Mon Aug  9 07:19:12 2021,1520424,CAR,2,4898,PC0AE9E1B,19.0,Mon
191,Tue Aug 10 16:39:12 2021,5680437,CAR,2,4022,PCF135377,19.0,Tue
192,Mon Aug  9 02:30:05 2021,1469208,VAN,2,4586,PC4A40D50,19.0,Mon
193,Mon Aug  9 06:58:52 2021,9017449,CAR,2,4733,PC797AEBF,19.0,Mon
194,Sat Aug  7 03:09:03 2021,9014873,TRUCK,4,4764,PCF6B0D12,19.0,Sat
195,Sat Aug  7 21:03:28 2021,6849933,CAR,2,4466,PC6E93A05,19.0,Sat
196,Sun Aug  1 00:29:43 2021,1907386,CAR,2,4158,PCAA68777,19.0,Sun
197,Sun Aug  1 01:56:36 2021,5556619,TRUCK,4,4111,PC07F012A,19.0,Sun
198,Tue Aug 17 00:22:53 2021,8724319,TRUCK,4,4591,PCC9875AC,19.0,Tue
199,Mon Aug  9 08:24:12 2021,4066334,CAR,2,4015,PC524833E,19.0,Mon
200,Sat Jul 31 19:46:31 2021,1208453,CAR,2,4420,PCFDB2950,20.0,Sat
201,Fri Aug  6 18:13:51 2021,8705286,TRUCK,4,4924,PCE3427C5,20.0,Fri
202,Thu Aug 12 00:17:15 2021,758555,CAR,2,4501,PC5D41947,20.0,Thu
203,Tue Aug 10 22:07:00 2021,7388283,CAR,2,4026,PC2CE9851,20.0,Tue
204,Sun Aug  8 07:16:20 2021,7589773,CAR,2,4280,PC03A5F23,20.0,Sun
205,Wed Aug 18 08:29:07 2021,2316095,CAR,2,4953,PC1E2B07E,20.0,Wed
206,Tue Aug 10 20:36:42 2021,1847455,VAN,2,4923,PC8A7A22A,20.0,Tue
207,Fri Aug 13 05:36:53 2021,7707016,CAR,2,4283,PC953B572,20.0,Fri
208,Sun Aug  1 04:10:44 2021,2616520,TRUCK,4,4899,PC4967767,20.0,Sun
209,Sun Aug 15 11:41:43 2021,8332760,TRUCK,4,4560,PC5030572,20.0,Sun
210,Mon Aug  9 05:19:02 2021,9677148,CAR,2,4037,PC0A50259,21.0,Mon
211,Wed Aug  4 19:23:36 2021,2695699,CAR,2,4610,PCA4D3E9B,21.0,Wed
212,Fri Aug 20 04:00:27 2021,1836057,CAR,2,4775,PCA50FB36,21.0,Fri
213,Wed Aug 18 09:20:33 2021,7980271,TRUCK,4,4414,PC40BD0F3,21.0,Wed
214,Sat Jul 31 01:41:58 2021,9166253,CAR,2,4915,PC86B0D7B,21.0,Sat
215,Mon Aug  2 20:26:27 2021,5966610,CAR,2,4618,PC8F4AF85,21.0,Mon
216,Tue Aug 10 14:11:13 2021,8273227,CAR,2,4909,PCDED6F20,21.0,Tue
217,Tue Aug 17 11:21:41 2021,4772310,CAR,2,4497,PC76FDDEA,21.0,Tue
218,Thu Aug 12 01:18:11 2021,401226,CAR,2,4401,PC0606D6A,21.0,Thu
219,Mon Aug  2 22:30:06 2021,5259884,VAN,2,4284,PC0DB49FD,21.0,Mon
220,Thu Aug 12 13:20:29 2021,4560546,CAR,2,4235,PCFB11406,22.0,Thu
221,Fri Aug  6 23:10:56 2021,3679257,TRUCK,4,4482,PCB6A16D7,22.0,Fri
222,Sun Aug  8 01:28:48 2021,5001460,CAR,2,4981,PC6B14C5D,22.0,Sun
223,Thu Aug 12 14:26:03 2021,488809,CAR,2,4175,PC08EA270,22.0,Thu
224,Sun Aug 15 16:57:15 2021,4435309,CAR,2,4188,PCDB12C82,22.0,Sun
225,Fri Aug  6 17:35:18 2021,9206176,CAR,2,4015,PC524833E,22.0,Fri
226,Sat Aug  7 03:08:44 2021,5665208,TRUCK,4,4230,PC19CE0DB,22.0,Sat
227,Sun Aug  1 05:31:31 2021,3619766,CAR,2,4686,PCD6E5E77,22.0,Sun
228,Wed Aug 18 09:22:29 2021,8195160,CAR,2,4123,PCDE850D8,22.0,Wed
229,Wed Aug  4 05:40:04 2021,689804,TRUCK,4,4283,PC953B572,22.0,Wed
230,Mon Aug 16 02:36:38 2021,7671204,CAR,2,4016,PCCD7399B,23.0,Mon
231,Fri Aug  6 19:31:40 2021,7549660,TRUCK,4,4504,PC461DCD3,23.0,Fri
232,Mon Aug  2 17:00:36 2021,6999001,CAR,2,4377,PC4AC8EAD,23.0,Mon
233,Thu Aug 12 15:17:57 2021,3470780,TRUCK,4,4971,PC0BD172F,23.0,Thu
234,Sat Aug  7 15:21:43 2021,3321932,CAR,2,4031,PC0214185,23.0,Sat
235,Mon Aug  9 04:56:23 2021,2993477,TRUCK,4,4965,PCA0BAE0F,23.0,Mon
236,Fri Aug 13 09:02:27 2021,7137012,CAR,2,4350,PCEDD7E85,23.0,Fri
237,Mon Aug  2 07:55:35 2021,4425207,CAR,2,4232,PC4156AD5,23.0,Mon
238,Sat Aug 14 11:54:16 2021,8906007,CAR,2,4592,PC627AA14,23.0,Sat
239,Sat Jul 31 04:23:09 2021,2613132,CAR,2,4760,PC161AC8D,23.0,Sat
240,Mon Aug 16 01:53:03 2021,1351738,TRUCK,4,5002,PC585BD38,24.0,Mon
241,Sat Aug 14 11:49:22 2021,8845283,CAR,2,4974,PCDEB8E32,24.0,Sat
242,Wed Aug 18 19:07:34 2021,5207716,CAR,2,4361,PC2E0C888,24.0,Wed
243,Mon Aug  9 05:34:28 2021,2593435,CAR,2,4946,PCCF18BAF,24.0,Mon
244,Sat Aug 14 08:00:30 2021,3194131,CAR,2,4314,PC7E9E8F3,24.0,Sat
245,Sat Aug 14 08:01:53 2021,946473,CAR,2,4784,PCDB42B34,24.0,Sat
246,Mon Aug  2 19:28:13 2021,2098761,TRUCK,4,4611,PC2EBEAB9,24.0,Mon
247,Wed Aug 11 02:53:00 2021,7556070,VAN,2,4515,PC6A1B37B,24.0,Wed
248,Fri Aug 13 20:51:49 2021,7949412,CAR,2,4531,PC857F4A0,24.0,Fri
249,Mon Aug 16 01:15:58 2021,4982057,CAR,2,4070,PCEECA8B2,24.0,Mon
250,Sun Aug 15 04:10:44 2021,1732371,CAR,2,4891,PC57036DA,25.0,Sun
251,Sun Aug  8 23:50:15 2021,4012995,CAR,2,4325,PC8FC83B3,25.0,Sun
252,Wed Aug 18 07:43:49 2021,2596237,CAR,2,4672,PC03AE86F,25.0,Wed
253,Mon Aug  2 17:51:59 2021,8381319,CAR,2,4147,PC4D2C5A7,25.0,Mon
254,Wed Aug 11 21:55:31 2021,5062265,TRUCK,4,4049,PC4779D38,25.0,Wed
255,Mon Aug 16 17:16:35 2021,7705983,CAR,2,4748,PCF2ECD29,25.0,Mon
256,Thu Jul 29 16:35:35 2021,2307979,VAN,2,4654,PCBA5D8AB,25.0,Thu
257,Mon Aug 16 03:21:45 2021,2588561,CAR,2,4890,PCAFC8A56,25.0,Mon
258,Sun Aug  8 12:39:42 2021,6847371,CAR,2,4972,PCC51AD39,25.0,Sun
259,Tue Aug 17 15:39:08 2021,2121085,CAR,2,4709,PCC8C7059,25.0,Tue
260,Tue Aug  3 01:37:46 2021,1734512,CAR,2,4788,PC00AE965,26.0,Tue
261,Tue Aug 17 22:18:40 2021,7759834,TRUCK,4,4306,PC5D6563A,26.0,Tue
262,Mon Aug 16 10:41:55 2021,6292412,CAR,2,4436,PC0CF9451,26.0,Mon
263,Fri Aug 13 11:00:14 2021,866998,CAR,2,4039,PC73BE1E2,26.0,Fri
264,Thu Aug 12 23:25:40 2021,9057323,TRUCK,4,4612,PC871C1FC,26.0,Thu
265,Fri Aug  6 03:55:57 2021,8091650,CAR,2,4686,PCD6E5E77,26.0,Fri
266,Thu Aug  5 23:24:23 2021,2155384,CAR,2,4314,PC7E9E8F3,26.0,Thu
267,Tue Aug  3 06:54:05 2021,1867583,CAR,2,4608,PCACD1BEE,26.0,Tue
268,Mon Aug 16 07:28:50 2021,2703371,TRUCK,4,4063,PC7667A3E,26.0,Mon
269,Tue Aug  3 20:00:16 2021,8368036,CAR,2,4944,PC41EEC34,26.0,Tue
270,Mon Aug 16 07:03:18 2021,3418635,TRUCK,4,4246,PC95F5F6B,27.0,Mon
271,Sun Aug 15 16:44:18 2021,301035,CAR,2,4438,PC665A28E,27.0,Sun
272,Thu Aug 12 13:34:54 2021,4648848,CAR,2,4234,PC5EBC1E1,27.0,Thu
273,Fri Aug 13 02:09:10 2021,758078,CAR,2,4050,PC822E359,27.0,Fri
274,Sat Aug  7 04:50:03 2021,1517284,VAN,2,4721,PCE937423,27.0,Sat
275,Wed Aug  4 20:38:41 2021,5708944,CAR,2,4130,PC9F22103,27.0,Wed
276,Thu Jul 29 20:17:07 2021,202496,CAR,2,4852,PC68969FB,27.0,Thu
277,Thu Jul 29 19:34:22 2021,6716922,TRUCK,4,4575,PC84D9FC1,27.0,Thu
278,Sun Aug  8 03:23:33 2021,5536264,CAR,2,4326,PC356AE8F,27.0,Sun
279,Sun Aug  8 07:34:29 2021,2105735,CAR,2,4694,PCBCF42C2,27.0,Sun
280,Sat Jul 31 12:39:28 2021,8857993,CAR,2,4551,PCCA5979C,28.0,Sat
281,Mon Aug  9 15:56:14 2021,514282,CAR,2,4775,PCA50FB36,28.0,Mon
282,Fri Aug  6 23:44:18 2021,847307,TRUCK,4,4146,PCF91266E,28.0,Fri
